date,temperature,humidity,luminosity
2021-11-17 15:16:47.310,20.9,27.4,24
2021-11-17 15:16:45.806,20.9,27.4,24
2021-11-17 15:16:44.278,20.9,27.4,24
2021-11-17 15:16:42.775,20.9,27.4,24
2021-11-17 15:16:41.247,20.9,27.4,24
2021-11-17 15:16:39.744,20.9,27.4,24
2021-11-17 15:16:38.216,20.9,27.4,24
2021-11-17 15:16:36.717,20.9,27.4,24
2021-11-17 15:16:35.189,20.9,27.4,24
2021-11-17 15:16:33.685,20.9,27.4,24
2021-11-17 15:16:32.157,21.0,27.5,24
2021-11-17 15:16:30.654,21.0,27.5,24
2021-11-17 15:16:29.126,21.0,27.5,24
2021-11-17 15:16:27.623,21.0,27.5,24
2021-11-17 15:16:26.095,21.0,27.5,23
2021-11-17 15:16:24.591,21.0,27.5,24
2021-11-17 15:16:23.064,21.0,27.6,24
2021-11-17 15:16:21.560,21.0,27.6,24
2021-11-17 15:16:20.032,21.0,27.6,24
2021-11-17 15:16:18.533,21.0,27.6,24
2021-11-17 15:16:17.005,21.0,27.7,23
2021-11-17 15:16:15.501,21.0,27.7,24
2021-11-17 15:16:13.973,21.0,27.6,24
2021-11-17 15:16:12.470,21.0,27.6,24
2021-11-17 15:16:10.942,21.0,27.6,23
2021-11-17 15:16:09.439,21.0,27.6,23
2021-11-17 15:16:07.911,21.1,27.6,23
2021-11-17 15:16:06.408,21.1,27.6,23
2021-11-17 15:16:04.880,21.1,27.6,24
2021-11-17 15:16:03.376,21.1,27.6,24
2021-11-17 15:16:01.848,21.1,27.6,24
2021-11-17 15:16:00.345,21.1,27.6,24
2021-11-17 15:15:58.817,21.1,27.6,24
2021-11-17 15:15:57.318,21.1,27.6,24
2021-11-17 15:15:55.790,21.1,27.6,24
2021-11-17 15:15:54.286,21.1,27.6,24
2021-11-17 15:15:52.758,21.1,27.6,24
2021-11-17 15:15:51.255,21.1,27.6,24
2021-11-17 15:15:49.727,21.1,27.5,24
2021-11-17 15:15:48.224,21.1,27.5,24
2021-11-17 15:15:46.696,21.2,27.6,23
2021-11-17 15:15:45.192,21.2,27.6,24
2021-11-17 15:15:43.665,21.2,27.5,24
2021-11-17 15:15:42.161,21.2,27.5,24
2021-11-17 15:15:40.633,21.2,27.6,24
2021-11-17 15:15:39.134,21.2,27.6,24
2021-11-17 15:15:37.606,21.2,27.6,24
2021-11-17 15:15:36.102,21.2,27.6,24
2021-11-17 15:15:34.575,21.3,27.7,24
2021-11-17 15:15:33.071,21.3,27.7,24
2021-11-17 15:15:31.543,21.3,27.7,24
2021-11-17 15:15:30.040,21.3,27.7,24
2021-11-17 15:15:28.512,21.3,27.7,24
2021-11-17 15:15:27.009,21.3,27.7,24
2021-11-17 15:15:25.481,21.3,27.7,24
2021-11-17 15:15:23.977,21.3,27.7,24
2021-11-17 15:15:22.449,21.3,27.7,24
2021-11-17 15:15:20.946,21.3,27.7,24
2021-11-17 15:15:19.418,21.4,27.8,24
2021-11-17 15:15:17.915,21.4,27.8,24
2021-11-17 15:15:16.387,21.4,27.8,24
2021-11-17 15:15:14.888,21.4,27.8,24
2021-11-17 15:15:13.360,21.4,27.9,24
2021-11-17 15:15:11.856,21.4,27.9,24
2021-11-17 15:15:10.328,21.5,28.1,24
2021-11-17 15:15:08.825,21.5,28.1,24
2021-11-17 15:15:07.297,21.5,28.1,24
2021-11-17 15:15:05.793,21.5,28.1,24
2021-11-17 15:15:04.266,21.5,28.2,24
2021-11-17 15:15:02.762,21.5,28.2,24
2021-11-17 15:15:01.234,21.6,28.4,24
2021-11-17 15:14:59.731,21.6,28.4,24
2021-11-17 15:14:58.203,21.6,28.5,24
2021-11-17 15:14:56.700,21.6,28.5,23
2021-11-17 15:14:55.172,21.6,28.6,23
2021-11-17 15:14:53.668,21.6,28.6,24
2021-11-17 15:14:52.140,21.6,28.8,23
2021-11-17 15:14:50.637,21.6,28.8,23
2021-11-17 15:14:49.109,21.7,29.0,23
2021-11-17 15:14:47.610,21.7,29.0,23
2021-11-17 15:14:46.082,21.7,29.2,23
2021-11-17 15:14:44.579,21.7,29.2,23
2021-11-17 15:14:43.050,21.7,29.5,23
2021-11-17 15:14:41.547,21.7,29.5,23
2021-11-17 15:14:40.019,21.7,29.8,23
2021-11-17 15:14:38.516,21.7,29.8,24
2021-11-17 15:14:36.988,21.8,30.1,24
2021-11-17 15:14:35.485,21.8,30.1,23
2021-11-17 15:14:33.957,21.8,30.6,23
2021-11-17 15:14:32.453,21.8,30.6,23
